,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2488,2024,EN,FT,Data Science Analyst,70000,USD,70000,US,on site,US,M
2489,2024,EN,FT,Data Science Analyst,64000,USD,64000,US,on site,US,M
2493,2024,SE,FT,Data Analytics Associate,91000,USD,91000,US,hybrid,US,L
2494,2024,EN,FT,Research Analyst,219000,USD,219000,US,on site,US,M
2495,2024,EN,FT,Research Analyst,123000,USD,123000,US,on site,US,M
2498,2024,EN,FT,BI Analyst,157600,USD,157600,US,on site,US,M
2499,2024,EN,FT,BI Analyst,96800,USD,96800,US,on site,US,M
2500,2024,EN,FT,Data Analyst,137100,USD,137100,US,on site,US,M
2501,2024,EN,FT,Data Analyst,109700,USD,109700,US,on site,US,M
2502,2024,MI,FT,Data Manager,83300,USD,83300,US,on site,US,M
2503,2024,MI,FT,Data Manager,47500,USD,47500,US,on site,US,M
2504,2024,SE,FT,Data Engineer,304750,USD,304750,US,on site,US,M
2510,2024,EN,FT,Research Engineer,101200,USD,101200,US,on site,US,M
2511,2024,EN,FT,Research Engineer,57700,USD,57700,US,on site,US,M
2513,2024,SE,FT,Data Engineer,77400,USD,77400,US,on site,US,M
2516,2024,EN,FT,Data Reporting Analyst,90300,USD,90300,US,on site,US,M
2517,2024,EN,FT,Data Reporting Analyst,50200,USD,50200,US,on site,US,M
2519,2024,EN,FT,Data Engineer,98000,USD,98000,US,on site,US,M
2520,2024,MI,FT,Data Specialist,105000,USD,105000,AU,on site,AU,M
2521,2024,MI,FT,Data Specialist,80000,USD,80000,AU,on site,AU,M
2526,2024,SE,FT,Data Engineer,165000,USD,165000,US,on site,US,M
2529,2024,MI,FT,Data Engineer,75000,USD,75000,US,remote,US,M
2530,2024,SE,FT,Research Scientist,96643,USD,96643,CA,on site,CA,M
2531,2024,SE,FT,Research Scientist,51543,USD,51543,CA,on site,CA,M
2532,2024,MI,FT,Business Intelligence Analyst,181280,USD,181280,US,on site,US,M
2533,2024,MI,FT,Business Intelligence Analyst,164800,USD,164800,US,on site,US,M
2534,2024,MI,FT,Data Analyst,107500,USD,107500,US,on site,US,M
2535,2024,MI,FT,Data Analyst,96750,USD,96750,US,on site,US,M
2536,2024,SE,FT,Data Scientist,96750,USD,96750,US,on site,US,M
2537,2024,SE,FT,Data Scientist,69600,USD,69600,US,on site,US,M
2538,2024,MI,FT,Data Scientist,150000,USD,150000,US,remote,US,M
2539,2024,MI,FT,Data Scientist,127500,USD,127500,US,remote,US,M
2540,2024,EX,FT,Data Engineer,225000,USD,225000,US,on site,US,M
2541,2024,EX,FT,Data Engineer,190000,USD,190000,US,on site,US,M
2547,2024,SE,FT,Data Scientist,136000,USD,136000,US,remote,US,M
2548,2024,SE,FT,Research Scientist,245400,USD,245400,US,on site,US,M
2549,2024,SE,FT,Research Scientist,139000,USD,139000,US,on site,US,M
2551,2024,MI,FT,Data Scientist,120000,USD,120000,US,on site,US,M
